,Node,Out-Degree
65,Thiothrix,9
1,Acinetobacter,8
44,Nitrosomonas,7
54,Ruminococcus,7
40,Methanosarcina,7
46,Paracoccus,7
9,Aliarcobacter,7
16,Desulforhabdus,6
64,Thermanaerovibrio,6
21,Enterococcus,5
28,Hydrogenophaga,5
18,Dorea,5
63,Tessaracoccus,5
60,Stenotrophomonas,5
30,Kocuria,5
33,Lactobacillus,5
25,Flavobacterium,5
20,Enhydrobacter,5
61,Streptococcus,5
50,Pseudomonas,5
57,Sorangium,4
38,Lysobacter,4
41,Microbacterium,4
36,Leptothrix,4
69,Veillonella,4
62,Syntrophobacter,4
3,Aeromonas,4
32,Lacihabitans,4
31,Lachnospira,4
6,Anaerocella,4
47,Prevotella,4
56,Serratia,4
52,Rhodococcus,4
59,Staphylococcus,4
68,Variovorax,4
51,Pseudoxanthomonas,4
13,Blautia,4
45,Parabacteroides,3
49,Gulosibacter,3
48,Cutibacterium,3
35,Legionella,3
37,Luteimonas,3
29,Janthinobacterium,3
26,Hahella,3
24,Faecalibacterium,3
23,Exilispira,3
22,Eubacterium,3
19,Dysgonomonas,3
17,Desulfovibrio,3
12,Blastopirellula,3
10,Azospirillum,3
7,Anaerosinus,3
5,Alistipes,3
4,Akkermansia,3
55,Sebaldella,3
67,Vagococcus,2
0,Alteracholeplasma,2
53,Rothia,2
43,Mitsuokella,2
42,Millisia,2
39,Methanofollis,2
34,Laribacter,2
27,Halomonas,2
14,Brachybacterium,2
11,Bacteroides,2
8,Aquincola,2
2,Bowdeniella,2
70,Virgibacillus,2
58,Sporosarcina,1
15,Bythopirellula,1
66,Turneriella,1
