,Node,Out-Degree
128,Escherichia coli,43
110,Kosakonia arachidis,42
51,Bacillus safensis,27
275,Tistlia consotensis,26
147,Hydrocarboniphaga effusa,23
223,Stutzerimonas stutzeri,21
70,Bryocella elongata,20
59,Bifidobacterium adolescentis,20
198,Paracoccus fistulariae,19
164,Litorilinea aerophila,18
259,Stenotrophomonas maltophilia,17
53,Mesobacillus selenatarsenatis,17
49,Heyndrickxia oleronia,17
250,Serratia ureilytica,17
36,Bacillus cereus,17
171,Methanosarcina mazei,16
192,Paenibacillus sanguinis,16
34,Heyndrickxia acidicola,16
188,Oceanobacillus profundus,16
65,Lonsdalea quercina,15
255,Staphylococcus epidermidis,15
156,Lacticigenium naphthae,15
138,Gracilibacillus boraciitolerans,15
176,Micrococcus luteus,15
109,Klebsiella aerogenes,14
112,Enterobacter cloacae,14
185,Nitratireductor basaltis,14
226,Pseudoxanthomonas mexicana,14
246,Serratia marcescens,14
151,Klebsiella oxytoca,14
271,Thermoanaerobacter uzonensis,14
55,Bacillus thuringiensis,14
124,Winslowiella toletana,14
210,Segatella copri,13
79,Citrobacter freundii,13
177,Millisia brevis,13
270,Thalassobacter stenotrophicus,12
187,Oceanobacillus oncorhynchi,12
242,Salmonella enterica,12
161,Lentibacillus juripiscarius,11
77,Chelonobacter oris,11
102,Megalodesulfovibrio paquesii,11
253,Simiduia agarivorans,11
133,Filimonas lacunae,11
30,Anoxybacillus kestanbolensis,11
169,Mariniradius saccharolyticus,11
221,Pseudomonas mendocina,10
142,Haemophilus influenzae,10
178,Roseateles chitosanitabidus,10
152,Kocuria palustris,10
257,Staphylococcus saprophyticus,10
75,Cellulosibacter alkalithermophilus,10
37,Heyndrickxia coagulans,9
125,Qipengyuania nanhaisediminis,9
256,Staphylococcus pettenkoferi,9
202,Tepidiphilus succinatimandens,9
31,Aquincola tertiaricarbonis,9
195,Pantoea agglomerans,9
236,Rothia mucilaginosa,9
46,Fredinandcohnia humi,9
95,Desulfocurvus vexinensis,8
199,Parvibaculum lavamentivorans,8
120,Enterococcus casseliflavus,8
204,Photorhabdus temperata,8
194,Paenochrobactrum glaciei,8
155,Roseibium marinum,8
8,Acinetobacter guillouiae,8
144,Hafnia alvei,8
33,Azospirillum brasilense,8
10,Acinetobacter lwoffii,8
212,Cutibacterium acnes,8
252,Shigella sonnei,8
278,Variovorax paradoxus,8
229,Raoultella ornithinolytica,8
264,Streptococcus intermedius,8
231,Rhodococcus fascians,7
166,Lysobacter yangpyeongensis,7
44,Halalkalibacterium halodurans,7
180,Morganella morganii,7
191,Paenibacillus barengoltzii,7
157,Lactobacillus casei,7
149,Janthinobacterium lividum,7
89,Cronobacter dublinensis,6
22,Alcaligenes faecalis,6
216,Gulosibacter bifidus,6
254,Sorangium cellulosum,6
232,Rhodococcus ruber,6
84,Clostridium saccharoperbutylacetonicum,6
52,Alkalicoccus saliphilus,6
184,Nitratifractor salsuginis,6
57,Bacteroides uniformis,6
16,Advenella mimigardefordensis,6
261,Streptococcus minor,6
91,Cronobacter turicensis,6
173,Microbacterium lacticum,6
25,Aliivibrio fischeri,5
160,Legionella dresdenensis,5
20,Agrococcus jenensis,5
170,Methanofollis liminatans,5
163,Listeria grayi,5
121,Dickeya chrysanthemi,5
135,Flavobacterium succinicans,5
286,Oceanobacillus picturae,5
116,Enterobacter ludwigii,5
211,Prevotella intermedia,5
74,Carboxydothermus ferrireducens,5
228,Rahnella aquatilis,5
196,Pantoea ananatis,5
230,Raoultella terrigena,5
60,Bifidobacterium longum,5
94,Desulfitispora alkaliphila,5
248,Serratia rubidaea,5
56,Bacteroides coprosuis,5
54,Caldibacillus thermoamylovorans,5
225,Pseudomonas viridiflava,5
235,Rothia dentocariosa,5
174,Microbacterium liquefaciens,5
207,Plesiomonas shigelloides,5
239,Ruminococcus flavefaciens,5
111,Enterobacter cancerogenus,5
220,Pseudomonas fragi,4
283,Vibrio mediterranei,4
218,Pseudomonas alcaligenes,4
200,Pasteurella skyensis,4
251,Shewanella benthica,4
9,Acinetobacter johnsonii,4
260,Streptococcus infantis,4
234,Roseateles depolymerans,4
175,Sphaerimonospora mesophila,4
165,Lysinibacillus boronitolerans,4
247,Serratia proteamaculans,4
190,Oxobacter pfennigii,4
153,Kosmotoga pacifica,4
24,Alicyclobacillus acidocaldarius,4
130,Ewingella americana,4
90,Cronobacter sakazakii,4
68,Brevibacillus laterosporus,4
69,Brevibacterium casei,4
85,Clostridium ljungdahlii,4
80,Clostridium tyrobutyricum,4
115,Enterobacter hormaechei,4
41,Priestia flexa,4
40,Cytobacillus firmus,4
114,Pluralibacter gergoviae,4
35,Bacillus badius,4
38,Bacillus coahuilensis,4
140,Grimontia hollisae,3
219,Pseudomonas citronellolis,3
224,Pseudomonas veronii,3
71,Solobacterium moorei,3
76,Cetobacterium somerae,3
