Node,Community
Bifidobacterium_adolescentis,0
Dorea_formicigenerans,0
Bifidobacterium_longum,0
Blautia_producta,0
Ruminococcus_gnavus,0
Eubacterium_biforme,0
Faecalibacterium_prausnitzii,1
Acinetobacter_lwoffii,1
Paracoccus_marcusii,1
Prevotella_copri,1
Neisseria_cinerea,1
Acinetobacter_rhizosphaerae,2
Streptococcus_minor,2
Acinetobacter_johnsonii,2
Enhydrobacter_aerosaccus,2
Acinetobacter_schindleri,2
Acinetobacter_guillouiae,2
Nitrosococcus_mobilis,3
Thiodictyon_syntrophicum,3
Nitrosomonas_halophila,3
