Node,Community
Acinetobacter_rhizosphaerae,0
Faecalibacterium_prausnitzii,0
Arcobacter_cryaerophilus,0
Agitococcus_lubricus,0
Mitsuaria_chitosanitabida,0
Bifidobacterium_adolescentis,0
Flavobacterium_gelidilacus,0
Flavobacterium_succinicans,0
Blautia_producta,0
Prevotella_copri,0
Variovorax_paradoxus,0
Bacteroides_uniformis,0
Pseudoxanthomonas_mexicana,0
Acinetobacter_johnsonii,0
Acinetobacter_lwoffii,0
Ruminococcus_gnavus,0
Erythrobacter_nanhaisediminis,0
Aquincola_tertiaricarbonis,0
Bifidobacterium_longum,0
Enhydrobacter_aerosaccus,0
Bacillus_firmus,1
Planococcus_maritimus,1
Bacillus_halodurans,1
Staphylococcus_pettenkoferi,1
Scopulibacillus_darangshiensis,1
Bacillus_cereus,1
Planococcus_pelagicus,1
Aquamonas_haywardensis,1
Bacillus_humi,1
Planococcus_maitriensis,1
Bacillus_racemilacticus,1
Micrococcus_luteus,1
Bacillus_saliphilus,1
Paenibacillus_barengoltzii,1
Bacillus_muralis,1
Bacillus_cohnii,1
Bacillus_marisflavi,1
Virgibacillus_siamensis,1
Ornithinibacillus_scapharcae,1
Enterobacter_radicincitans,1
Gracilibacillus_boraciitolerans,1
Bacillus_coahuilensis,1
Oceanobacillus_profundus,1
Lysinibacillus_boronitolerans,1
Lentibacillus_juripiscarius,1
Virgibacillus_halodenitrificans,1
Zobellella_aerophila,1
Gracilibacillus_halotolerans,1
Brevibacillus_laterosporus,1
Anoxybacillus_kestanbolensis,1
Bacillus_flexus,1
Enterobacter_aerogenes,1
Bacillus_thuringiensis,1
Baumannia_cicadellinicola,1
Bacillus_thermoamylovorans,1
Bacillus_ginsengihumi,1
Bacillus_oleronius,1
Bacillus_safensis,1
Bacillus_selenatarsenatis,1
Bacillus_acidicola,1
Sporosarcina_ginsengi,1
Vagococcus_salmoninarum,1
Bacillus_coagulans,1
Oceanobacillus_oncorhynchi,1
Bacillus_badius,1
Macrococcus_caseolyticus,1
Thermoflavimicrobium_dichotomicum,1
Staphylococcus_succinus,1
Bacillus_horikoshii,1
Staphylococcus_saprophyticus,1
Bacillus_foraminis,1
Virgibacillus_picturae,1
Virgibacillus_marismortui,1
Enterobacter_cancerogenus,2
Xenorhabdus_bovienii,2
CandidatusRegiella_insecticola,2
Serratia_ureilytica,2
Brenneria_rubrifaciens,2
Enterobacter_gergoviae,2
Janthinobacterium_lividum,2
Kocuria_palustris,2
Raoultella_terrigena,2
Ewingella_americana,2
Cronobacter_dublinensis,2
Serratia_rubidaea,2
Enterobacter_arachidis,2
Haemophilus_parainfluenzae,2
Pragia_fontium,2
Erwinia_soli,2
Cronobacter_sakazakii,2
Propionibacterium_granulosum,2
Vibrio_shilonii,2
Brenneria_alni,2
Vibrio_fortis,2
Stenotrophomonas_maltophilia,2
Hafnia_alvei,2
Erwinia_oleae,2
Rahnella_aquatilis,2
Serratia_symbiotica,2
Shigella_sonnei,2
Aliivibrio_fischeri,2
Erwinia_toletana,2
Rothia_dentocariosa,2
Brenneria_quercina,2
Samsonia_erythrinae,2
Grimontia_hollisae,2
Propionibacterium_acnes,2
Kleidoceria_schneideri,2
Profftia_virida,2
Pseudomonas_stutzeri,2
Enterobacter_pyrinus,2
Plesiomonas_shigelloides,2
Morganella_morganii,2
Xenorhabdus_romanii,2
Rothia_mucilaginosa,2
Serratia_marcescens,2
Xenorhabdus_kozodoii,2
Haemophilus_influenzae,2
Photorhabdus_temperata,2
Actinobacillus_scotiae,2
Xenorhabdus_nematophila,2
Escherichia_blattae,2
Raoultella_ornithinolytica,2
Pantoea_ananatis,2
Xenorhabdus_poinarii,2
Methylomicrobium_buryatense,2
Enterobacter_cloacae,2
Veillonella_parvula,2
Aggregatibacter_segnis,2
Citrobacter_freundii,2
Vibrio_rumoiensis,2
Enterobacter_hormaechei,2
Vibrio_metschnikovii,2
Pantoea_agglomerans,2
Staphylococcus_epidermidis,2
Alteromonas_halophila,2
Xenorhabdus_japonica,2
Salinivibrio_costicola,2
Actinobacillus_parahaemolyticus,2
Serratia_proteamaculans,2
Cronobacter_turicensis,2
Gluconacetobacter_liquefaciens,2
Brenneria_salicis,2
Salmonella_enterica,2
Trabulsiella_farmeri,2
Enterobacter_cowanii,2
Thiopilula_aggregata,2
Shewanella_benthica,2
Enterobacter_ludwigii,2
Klebsiella_oxytoca,2
Pasteurella_skyensis,2
Leminorella_grimontii,2
Pseudidiomarina_homiensis,2
Xenorhabdus_budapestensis,2
Erwinia_dispersa,2
Erwinia_chrysanthemi,2
Xenorhabdus_indica,2
Vibrio_tapetis,2
Desulforegula_conservatrix,3
Thiothrix_eikelboomii,3
Leptothrix_discophora,3
Turneriella_parva,3
