Node,Community
Serratia_symbiotica,3
Enterobacter_hormaechei,3
Profftia_virida,3
Pseudidiomarina_homiensis,3
Stenotrophomonas_maltophilia,3
Vibrio_metschnikovii,3
Xenorhabdus_japonica,3
Cronobacter_dublinensis,2
Cronobacter_turicensis,2
Erwinia_chrysanthemi,2
Pantoea_ananatis,2
Pragia_fontium,2
Xenorhabdus_bovienii,2
Enterobacter_arachidis,2
Enterobacter_cancerogenus,2
Enterobacter_cowanii,2
Enterobacter_gergoviae,2
Erwinia_oleae,2
Erwinia_soli,2
Photorhabdus_temperata,2
Raoultella_terrigena,2
Salmonella_enterica,2
Samsonia_erythrinae,2
Shigella_sonnei,2
Vibrio_fortis,2
Vibrio_rumoiensis,2
Vibrio_shilonii,2
Bacillus_ginsengihumi,1
Citrobacter_freundii,1
Bacillus_acidicola,1
Bacillus_safensis,1
CandidatusRegiella_insecticola,1
Cronobacter_sakazakii,1
Enterobacter_ludwigii,1
Enterobacter_pyrinus,1
Escherichia_blattae,1
Escherichia_coli,1
Kleidoceria_schneideri,1
Lysinibacillus_boronitolerans,1
Morganella_morganii,1
Rothia_mucilaginosa,0
Propionibacterium_acnes,0
Propionibacterium_granulosum,0
Baumannia_cicadellinicola,0
Enterobacter_cloacae,0
Erwinia_dispersa,0
Gluconacetobacter_liquefaciens,0
Hafnia_alvei,0
Klebsiella_oxytoca,0
Pantoea_agglomerans,0
Plesiomonas_shigelloides,0
Serratia_marcescens,0
Trabulsiella_farmeri,0
Haemophilus_parainfluenzae,0
Brenneria_quercina,0
Erwinia_toletana,0
Thiopilula_aggregata,0
Salinivibrio_costicola,0
Bacillus_firmus,0
Leminorella_grimontii,0
Vibrio_tapetis,0
Xenorhabdus_nematophila,0
