Node,Community
Agrococcus_jenensis,0
Pseudoxanthomonas_taiwanensis,0
Brevibacterium_casei,0
Filimonas_lacunae,0
Microbacterium_lacticum,0
Fulvimonas_soli,0
Mitsuaria_chitosanitabida,0
Legionella_dresdenensis,0
Kerstersia_gyiorum,0
Halorhodospira_halophila,0
Roseateles_depolymerans,0
Thalassobacter_stenotrophicus,0
Nitrosomonas_nitrosa,0
Microbacterium_maritypicum,0
Stenotrophomonas_geniculata,0
Bulleidia_moorei,1
Anaerophaga_thermohalophila,1
Streptococcus_infantis,1
Hydrocarboniphaga_effusa,1
Bacillus_flexus,1
Alicyclobacillus_acidocaldarius,1
Methanosarcina_mazei,1
Bacillus_cereus,1
Clostridium_tyrobutyricum,1
Desulforhabdus_amnigena,1
Bacillus_coahuilensis,1
Erwinia_toletana,1
Pseudoclavibacter_bifida,1
Methanofollis_liminatans,1
Desulfovirga_adipica,1
Serratia_marcescens,2
Xenorhabdus_bovienii,2
Alcanivorax_venustensis,2
Enterococcus_casseliflavus,2
Xylophilus_ampelinus,2
Nitratifractor_salsuginis,2
Lachnospira_pectinoschiza,2
Pseudomonas_veronii,2
Pseudomonas_pseudoalcaligenes,2
Bifidobacterium_adolescentis,2
Petrobacter_succinatimandens,2
Aeromonas_popoffii,2
Dechloromonas_fungiphilus,2
Photobacterium_damselae,2
Hahella_chejuensis,2
Variovorax_paradoxus,2
Janthinobacterium_lividum,2
Alkalimonas_amylolytica,2
Pseudomonas_mendocina,2
Ruminococcus_torques,2
Coprobacillus_cateniformis,2
Ewingella_americana,2
Pseudomonas_alcaligenes,2
Intrasporangium_calvum,2
Lysobacter_yangpyeongensis,2
Alcaligenes_faecalis,2
Pantoea_agglomerans,2
Chlorobium_chlorochromatii,2
Streptococcus_equi,2
Baumannia_cicadellinicola,2
Eubacterium_cylindroides,2
Trabulsiella_farmeri,2
Pseudomonas_fragi,2
Halomonas_alkalitolerans,2
Bacteroides_uniformis,2
Alistipes_massiliensis,2
Shewanella_benthica,2
Bacteroides_coprosuis,2
Kleidoceria_schneideri,2
Cetobacterium_somerae,2
Pseudomonas_stutzeri,2
Plesiomonas_shigelloides,2
Pseudomonas_viridiflava,2
Pseudoalteromonas_tunicata,2
Enterococcus_cecorum,3
Prototheca_ulmea,3
Streptococcus_intermedius,3
Clostridium_saccharoperbutylacetonicum,3
Clostridium_longisporum,3
Thermanaerovibrio_acidaminovorans,3
Bacillus_firmus,4
Desulfitispora_alkaliphila,4
Faecalibacterium_prausnitzii,4
Rhodococcus_ruber,4
Clostridium_piliforme,4
Lactobacillus_mucosae,4
Photorhabdus_temperata,4
Kosmotoga_mrcj,4
Staphylococcus_pettenkoferi,4
Desulfosporosinus_meridiei,4
Microbispora_mesophila,4
Actinomadura_vinacea,4
Prevotella_intermedia,4
Bacillus_muralis,4
Porphyromonas_endodontalis,4
Rhodococcus_fascians,4
Ruminococcus_albus,4
Bryocella_elongata,4
Clostridium_ljungdahlii,4
Cellulosibacter_alkalithermophilus,4
Halothiobacillus_hydrothermalis,4
Halothermothrix_orenii,4
Clostridium_gasigenes,4
Staphylococcus_epidermidis,4
Clostridium_litorale,4
Kribbia_dieselivorans,4
Brevibacillus_laterosporus,4
Pelistega_europaea,4
Exilispira_thermophila,4
Litorilinea_aerophila,4
